dcterms:title;latitude/longitude
grabado_v_463_1;41.38879/2.15899
grabado_v_023_1;41.38879/2.15900
grabado_v_043_1;41.38879/2.15901
grabado_v_113_2;41.38879/2.15902
grabado_v_303_1;41.38879/2.15903
grabado_v_326_1;41.38879/2.15904
grabado_v_327_1;41.38879/2.15905
grabado_v_037_1;41.38879/2.15906
grabado_v_031_1;41.38879/2.15907
grabado_v_305_2;41.38879/2.15908
grabado_v_070_1;41.38879/2.15909
grabado_v_157_1;41.38879/2.15910
grabado_v_296_2;41.38879/2.15911
grabado_v_330_1;41.38879/2.15912
grabado_v_380_1;41.38879/2.15913
grabado_v_416_1;41.38879/2.15914
grabado_m_306_1;37.47125/-5.64608
grabado_v_335_1;41.15612/1.10687
grabado_m_172_1;37.47125/-5.64608
grabado_v_304_1;41.38879/2.15914
grabado_v_298_1;41.38879/2.15914
grabado_v_056_1;40.4165/-3.70256